measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1988,10914395.24,11124838.74,10718407.99
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1988,32186977.6,32488508.62,31899902.51
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1992,11061386.29,11166758.33,10951982.96
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1992,1688608.674,1734969.45,1646974.997
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1992,7722068.122,7839300.684,7610724.051
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1992,11628984.79,11837162.32,11405592.61
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1992,32101047.87,32401655.76,31819685.55
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1990,11622712.96,11765296.9,11484854
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1990,1738792.109,1785794.227,1690360.144
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1990,7436363.611,7546680.832,7341945.267
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1990,11351357.36,11584207.63,11137215.4
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1990,32149226.04,32471047.2,31859368.28
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1991,11411641.18,11533502.25,11291168.54
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1991,1742284.891,1791904.988,1696187.009
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1991,7594105.144,7708181.22,7484883.323
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1991,11513997.81,11750061.58,11305862.03
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1991,32262029.02,32567073.42,31972510.36
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1995,10493835.2,10594510.68,10392711.4
